index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
0,W44X408,408,120,44.8,16.1,1.22,2.17,3.71,31.9,38700,2000,1730,18,1520,297,189,3.56,134,691000,4.33
1,W44X368,368,108,44.4,16,1.1,1.97,4.06,35.4,34700,1800,1560,17.9,1350,265,169,3.54,100,608000,4.28
2,W44X335,335,98.5,44,15.9,1.03,1.77,4.5,38,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,4.24
3,W44X290,290,85.4,43.6,15.8,0.865,1.58,5.02,45,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,4.2
4,W44X262,262,77.2,43.3,15.8,0.785,1.42,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,4.17
5,W44X230,230,67.8,42.9,15.8,0.71,1.22,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,4.13
6,W40X655,655,193,43.6,16.9,1.97,3.54,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,4.71
7,W40X593,593,174,43,16.7,1.79,3.23,2.58,19.1,50400,2760,2340,17,2520,481,302,3.8,445,997000,4.63
8,W40X503,503,148,42.1,16.4,1.54,2.76,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,4.5
9,W40X431,431,127,41.3,16.2,1.34,2.36,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,4.41
10,W40X397,397,117,41,16.1,1.22,2.2,3.66,28,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,4.38
11,W40X372,372,110,40.6,16.1,1.16,2.05,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.6,116,528000,4.33
12,W40X362,362,106,40.6,16,1.12,2.01,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.6,109,513000,4.33
13,W40X324,324,95.3,40.2,15.9,1,1.81,4.4,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,4.27
14,W40X297,297,87.3,39.8,15.8,0.93,1.65,4.8,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,4.22
15,W40X277,277,81.5,39.7,15.8,0.83,1.58,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,4.25
16,W40X249,249,73.5,39.4,15.8,0.75,1.42,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,4.21
17,W40X215,215,63.5,39,15.8,0.65,1.22,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,4.19
18,W40X199,199,58.8,38.7,15.8,0.65,1.07,7.39,52.6,14900,869,770,16,695,137,88.2,3.45,18.3,246000,4.12
19,W40X392,392,116,41.6,12.4,1.42,2.52,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,3.3
20,W40X331,331,97.7,40.8,12.2,1.22,2.13,2.86,28,24700,1430,1210,15.9,644,172,106,2.57,105,241000,3.21
21,W40X327,327,95.9,40.8,12.1,1.18,2.13,2.85,29,24500,1410,1200,16,640,170,105,2.58,103,239000,3.21
22,W40X294,294,86.2,40.4,12,1.06,1.93,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,3.16
23,W40X278,278,82.3,40.2,12,1.03,1.81,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65,192000,3.13
24,W40X264,264,77.4,40,11.9,0.96,1.73,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,3.12
25,W40X235,235,69.1,39.7,11.9,0.83,1.58,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,3.11
26,W40X211,211,62.1,39.4,11.8,0.75,1.42,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,3.07
27,W40X183,183,53.3,39,11.8,0.65,1.2,4.92,52.6,13200,774,675,15.7,331,88.3,56,2.49,19.3,118000,3.04
28,W40X167,167,49.3,38.6,11.8,0.65,1.03,5.76,52.6,11600,693,600,15.3,283,76,47.9,2.4,14,99700,2.98
29,W40X149,149,43.8,38.2,11.8,0.63,0.83,7.11,54.3,9800,598,513,15,229,62.2,38.8,2.29,9.36,80000,2.89
30,W36X925,925,272,43.1,18.6,3.02,4.53,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,5.3
31,W36X853,853,251,43.1,18.2,2.52,4.53,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,5.22
32,W36X802,802,236,42.6,18,2.38,4.29,2.1,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,5.15
33,W36X723,723,213,41.8,17.8,2.17,3.9,2.28,15,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,5.06
34,W36X652,652,192,41.1,17.6,1.97,3.54,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.1,593,1130000,4.96
35,W36X529,529,156,39.8,17.2,1.61,2.91,2.96,19.9,39600,2330,1990,16,2490,454,289,4,327,846000,4.8
36,W36X487,487,143,39.3,17.1,1.5,2.68,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,4.74
37,W36X441,441,130,38.9,17,1.36,2.44,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,4.69
38,W36X395,395,116,38.4,16.8,1.22,2.2,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,4.61
39,W36X361,361,106,38,16.7,1.12,2.01,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,4.58
40,W36X330,330,96.9,37.7,16.6,1.02,1.85,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,4.53
41,W36X302,302,89,37.3,16.7,0.945,1.68,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,4.53
42,W36X282,282,82.9,37.1,16.6,0.885,1.57,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.8,52.7,378000,4.5
43,W36X262,262,77.2,36.9,16.6,0.84,1.44,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,4.46
44,W36X247,247,72.5,36.7,16.5,0.8,1.35,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,4.42
45,W36X231,231,68.2,36.5,16.5,0.76,1.26,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,4.4
46,W36X387,387,114,39.1,12.7,1.42,2.56,2.48,22.9,26500,1610,1360,15.2,882,224,139,2.78,172,294000,3.44
47,W36X350,350,103,38.6,12.6,1.3,2.32,2.72,25,23600,1440,1220,15.1,780,199,124,2.75,129,257000,3.41
48,W36X318,318,93.4,38.2,12.4,1.18,2.13,2.91,27.5,21200,1300,1110,15.1,682,176,110,2.7,98.3,222000,3.33
49,W36X286,286,83.9,37.8,12.3,1.06,1.93,3.19,30.6,18900,1160,1000,15,602,156,97.9,2.68,72.8,194000,3.29
50,W36X256,256,75.3,37.4,12.2,0.96,1.73,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,3.24
51,W36X232,232,68,37.1,12.1,0.87,1.57,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,3.21
52,W36X210,210,61.9,36.7,12.2,0.83,1.36,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28,128000,3.18
53,W36X194,194,57,36.5,12.1,0.765,1.26,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,3.15
54,W36X182,182,53.6,36.3,12.1,0.725,1.18,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,3.13
55,W36X170,170,50,36.2,12,0.68,1.1,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,3.11
56,W36X160,160,47,36,12,0.65,1.02,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.5,12.4,90200,3.09
57,W36X150,150,44.3,35.9,12,0.625,0.94,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,3.06
58,W36X135,135,39.9,35.6,12,0.6,0.79,7.56,54.1,7800,509,439,14,225,59.7,37.7,2.38,7,68100,2.99
59,W33X387,387,114,36,16.2,1.26,2.28,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,4.49
60,W33X354,354,104,35.6,16.1,1.16,2.09,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,4.44
61,W33X318,318,93.7,35.2,16,1.04,1.89,4.23,28.7,19500,1270,1110,14.5,1290,250,161,3.71,84.4,357000,4.4
62,W33X291,291,85.6,34.8,15.9,0.96,1.73,4.6,31,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,4.34
63,W33X263,263,77.4,34.5,15.8,0.87,1.57,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,4.31
64,W33X241,241,71.1,34.2,15.9,0.83,1.4,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,4.29
65,W33X221,221,65.3,33.9,15.8,0.775,1.28,6.2,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,4.25
66,W33X201,201,59.1,33.7,15.7,0.715,1.15,6.85,41.7,11600,773,686,14,749,147,95.2,3.56,20.8,198000,4.21
67,W33X169,169,49.5,33.8,11.5,0.67,1.22,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.5,17.7,82400,3.03
68,W33X152,152,44.9,33.5,11.6,0.635,1.06,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,3.01
69,W33X141,141,41.5,33.3,11.5,0.605,0.96,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.7,64400,2.98
70,W33X130,130,38.3,33.1,11.5,0.58,0.855,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,2.94
71,W33X118,118,34.7,32.9,11.5,0.55,0.74,7.76,54.5,5900,415,359,13,187,51.3,32.6,2.32,5.3,48300,2.89
72,W30X391,391,115,33.2,15.6,1.36,2.44,3.19,19.7,20700,1450,1250,13.4,1550,310,198,3.67,173,366000,4.37
73,W30X357,357,105,32.8,15.5,1.24,2.24,3.45,21.6,18700,1320,1140,13.3,1390,279,179,3.64,134,324000,4.31
74,W30X326,326,95.9,32.4,15.4,1.14,2.05,3.75,23.4,16800,1190,1040,13.2,1240,252,162,3.6,103,287000,4.26
75,W30X292,292,86,32,15.3,1.02,1.85,4.12,26.2,14900,1060,930,13.2,1100,223,144,3.58,75.2,250000,4.22
76,W30X261,261,77,31.6,15.2,0.93,1.65,4.59,28.7,13100,943,829,13.1,959,196,127,3.53,54.1,215000,4.16
77,W30X235,235,69.3,31.3,15.1,0.83,1.5,5.02,32.2,11700,847,748,13,855,175,114,3.51,40.3,190000,4.13
