floor weight,floor dead load,floor live load,beam dead load,beam live load,leaning column dead load,leaning column live load
1171.465,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1166.245,95.0,50.0,3325.0,1750.0,0.01,0.01
1072.17,90.0,60.0,3150.0,2100.0,0.01,0.01
