exterior column,interior column,beam
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
"W12, W14","W12, W14","W12, W14, W16, W18, W21, W27, W30, W33, W36"
