MODAL ANALYSIS REPORT

PROBELM SIZE IS 2D

EIGENVALUE ANALYSIS
            MODE          LAMBDA           OMEGA       FREQUENCY          PERIOD
               1         101.279         10.0637         1.60169        0.624339
               2         988.121         31.4344         5.00294        0.199883
               3         3135.86         55.9988         8.91248        0.112202
               4         7037.93         83.8924         13.3519       0.0748958
               5           13021          114.11         18.1611       0.0550627

TOTAL MASS OF THE STRUCTURE
              MX              MY             MRZ
         12.4773         3.5e-08         3.5e-08

MODAL PARTICIPATION MASSES (%)
            MODE              MX              MY             MRZ
               1         83.1528     2.24487e-40      4.1526e-13
               2         9.95904     2.52603e-39     8.21935e-13
               3         3.67313     1.09965e-39     4.33739e-13
               4         1.79859     2.42294e-39     1.72553e-12
               5        0.912075     1.84949e-39     3.45013e-13

CUMULATIVE MODAL PARTICIPATION MASSES (%)
            MODE              MX              MY             MRZ
               1         83.1528     2.24487e-40      4.1526e-13
               2         93.1118     2.75052e-39     1.23719e-12
               3         96.7849     3.85017e-39     1.67093e-12
               4         98.5835     6.27311e-39     3.39647e-12
               5         99.4956      8.1226e-39     3.74148e-12
